Issue ID,Tool,Project,Version,Branch,Rule ID,CWE,Severity,Confidence,Likelihood,Impact,Component,File Path,Function,Line,Column,Status,Assignee,First Seen,Last Seen,Introduced In Commit,Introduced By,Description,Recommendation,Tags
POL-99991,Polaris SAST,SampleApp,2026.03,main,JAVA_SQL_INJECTION,89,Critical,High,High,High,AuthService,src/main/java/com/sampleapp/db/UserDAO.java,findByUsername,44,13,New,anil.k,2026-03-05,2026-03-05,a1b2c3d4,feature/rewards-engine,Concatenated SQL query parameter allows injection.,Use PreparedStatement and parameter binding; validate input.,"OWASP-A1-Injection,PCI"
POL-99992,Polaris SAST,SampleApp,2026.03,main,JAVA_COMMAND_INJECTION,78,Critical,High,High,High,Security,src/main/java/com/sampleapp/auth/LoginController.java,login,88,9,Confirmed,dev1,2026-03-05,2026-03-05,b2c3d4e5,hotfix/auth-null,User input flows into Runtime.exec command.,Avoid shell invocation; use safe APIs with strict validation.,"OWASP-A1-Injection,Auth"
POL-10000,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_MD5,327,Critical,Low,Medium,High,Security,src/main/java/com/sampleapp/db/Handler2.java,deleteAsync,236,5,New,dev1,2026-02-10,2026-03-05,d325501e,feature/rewards-engine,Use of weak hash MD5,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,Logging
POL-10001,Polaris SAST,SampleApp,2026.03,main,JAVA_DESERIALIZATION_RCE,502,Critical,Medium,High,High,Common,src/main/java/com/sampleapp/api/Repository6.java,list,42,94,Triaged,anil.k,2026-02-16,2026-03-05,90273735,feature/rewards-engine,Unsafe deserialization of untrusted data,Avoid native deserialization; use safe formats (JSON) or a validation whitelist.,"Auth,PCI,OWASP-A1-Injection"
POL-10002,Polaris SAST,SampleApp,2026.03,main,JAVA_COMMAND_INJECTION,78,High,Medium,Low,Medium,Core,src/main/java/com/sampleapp/util/Repository4.java,execute,369,83,New,dev1,2026-02-13,2026-03-05,2d1e85df,feature/rewards-engine,Command injection through Runtime.exec,Use ProcessBuilder with argument arrays; validate and escape input.,OWASP-A1-Injection
POL-10003,Polaris SAST,SampleApp,2026.03,main,JAVA_INSECURE_RANDOM,330,High,High,Low,Low,Payments,src/main/java/com/sampleapp/security/Handler8.java,save,349,59,New,unassigned,2026-02-15,2026-03-05,d2e380d9,feature/payments-v2,Use of predictable random (java.util.Random),Use java.security.SecureRandom for security-sensitive values.,"OWASP-A3-DataExposure,OWASP-A1-Injection"
POL-10004,Polaris SAST,SampleApp,2026.03,main,JAVA_XSS_REFLECTED,79,Medium,Low,Medium,Low,API,src/main/java/com/sampleapp/orders/Client10.java,update,303,111,Ignored,unassigned,2026-02-16,2026-02-28,66feca55,feature/payments-v2,Reflected XSS via unsanitized output,HTML-encode outputs; validate and sanitize user input.,Reliability
POL-10005,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_MD5,327,High,Low,Low,Low,Security,src/main/java/com/sampleapp/db/Repository3.java,delete,291,118,New,unassigned,2026-02-03,2026-03-05,1bf96dd3,feature/rewards-engine,Use of weak hash MD5,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,Performance
POL-10006,Polaris SAST,SampleApp,2026.03,main,JAVA_INSECURE_COOKIE,614,Medium,High,High,Low,Config,src/main/java/com/sampleapp/db/Repository9.java,list,128,119,Confirmed,anil.k,2026-02-11,2026-03-05,504f81db,feature/rewards-engine,Cookie without Secure/HttpOnly flags,Set Secure and HttpOnly (and SameSite) flags on session cookies.,"Reliability,Auth,PCI"
POL-10007,Polaris SAST,SampleApp,2026.03,main,JAVA_SQL_INJECTION,89,Critical,Low,High,High,API,src/main/java/com/sampleapp/auth/Manager6.java,register,162,86,Triaged,dev2,2026-01-20,2026-03-05,c83166db,dependabot/bump-spring,SQL Injection via concatenated query,Use PreparedStatement with bind variables; avoid string concatenation.,"Logging,Reliability"
POL-10008,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_SHA1,327,Critical,Low,Low,High,AuthService,src/main/java/com/sampleapp/orders/Handler6.java,register,117,69,Triaged,anil.k,2026-01-27,2026-03-05,c17b67b4,feature/payments-v2,Use of weak hash SHA-1,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,OWASP-A3-DataExposure
POL-10009,Polaris SAST,SampleApp,2026.03,main,JAVA_XSS_REFLECTED,79,High,Medium,High,Medium,AuthService,src/main/java/com/sampleapp/db/Client1.java,save,252,37,Triaged,qa1,2026-01-19,2026-03-05,41dda5af,feature/rewards-engine,Reflected XSS via unsanitized output,HTML-encode outputs; validate and sanitize user input.,"Performance,OWASP-A5-Misconfig,OWASP-A1-Injection"
POL-10010,Polaris SAST,SampleApp,2026.03,main,JAVA_COMMAND_INJECTION,78,Low,High,Low,High,Security,src/main/java/com/sampleapp/orders/Controller10.java,handle,40,80,New,qa1,2026-01-21,2026-03-05,fe4fec41,feature/rewards-engine,Command injection through Runtime.exec,Use ProcessBuilder with argument arrays; validate and escape input.,Performance
POL-10011,Polaris SAST,SampleApp,2026.03,main,JAVA_INFORMATION_EXPOSURE_STACKTRACE,209,Low,High,Low,High,Orders,src/main/java/com/sampleapp/db/Repository2.java,handle,100,57,Fixed,qa1,2026-02-04,2026-02-28,962428b8,refactor/core-cleanup,Stack trace exposed to client,Return generic errors to clients; log detailed stack traces server-side.,OWASP-A3-DataExposure
POL-10012,Polaris SAST,SampleApp,2026.03,main,JAVA_XSS_REFLECTED,79,High,Low,High,Low,Payments,src/main/java/com/sampleapp/security/Handler11.java,execute,148,116,Fixed,anil.k,2026-02-20,2026-03-04,47afc9c1,dependabot/bump-spring,Reflected XSS via unsanitized output,HTML-encode outputs; validate and sanitize user input.,"OWASP-A1-Injection,OWASP-A3-DataExposure,Reliability"
POL-10013,Polaris SAST,SampleApp,2026.03,main,JAVA_RESOURCE_LEAK,772,Critical,Medium,Low,Low,Core,src/main/java/com/sampleapp/orders/Service1.java,execute,40,116,Triaged,unassigned,2026-02-08,2026-03-05,4f27958d,hotfix/auth-null,Resource leak: stream not closed,Use try-with-resources to auto-close streams.,Logging
POL-10014,Polaris SAST,SampleApp,2026.03,main,JAVA_XSS_REFLECTED,79,Medium,Medium,Medium,Low,Security,src/main/java/com/sampleapp/service/Service12.java,register,39,110,Triaged,qa1,2026-02-11,2026-03-05,71e6dadf,feature/rewards-engine,Reflected XSS via unsanitized output,HTML-encode outputs; validate and sanitize user input.,"GDPR,Logging"
POL-10015,Polaris SAST,SampleApp,2026.03,main,JAVA_HARDCODED_CREDENTIALS,798,Low,High,Medium,High,Orders,src/main/java/com/sampleapp/auth/Controller10.java,save,180,56,Confirmed,dev1,2026-01-22,2026-03-05,b8da0264,hotfix/auth-null,Hardcoded credential in source,Remove secrets from code; use a secrets manager and rotate keys.,"Logging,OWASP-A3-DataExposure"
POL-10016,Polaris SAST,SampleApp,2026.03,main,JAVA_INFORMATION_EXPOSURE_STACKTRACE,209,High,High,Low,Medium,Orders,src/main/java/com/sampleapp/orders/Repository7.java,execute,118,54,Confirmed,dev2,2026-01-30,2026-03-05,483e2ae0,feature/payments-v2,Stack trace exposed to client,Return generic errors to clients; log detailed stack traces server-side.,"GDPR,Performance,Auth"
POL-10017,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_MD5,327,High,Medium,Low,High,API,src/main/java/com/sampleapp/service/Util11.java,list,140,87,Triaged,anil.k,2026-02-11,2026-03-05,ca936183,dependabot/bump-spring,Use of weak hash MD5,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,"Logging,Auth"
POL-10018,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_MD5,327,Medium,High,Medium,High,Core,src/main/java/com/sampleapp/payments/Controller9.java,handle,82,59,New,dev2,2026-01-25,2026-03-05,49398352,feature/payments-v2,Use of weak hash MD5,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,"OWASP-A5-Misconfig,Performance"
POL-10019,Polaris SAST,SampleApp,2026.03,main,JAVA_DESERIALIZATION_RCE,502,Medium,Low,Medium,Low,Config,src/main/java/com/sampleapp/security/Repository8.java,register,140,35,Triaged,dev2,2026-01-20,2026-03-05,bc0cd0f1,feature/rewards-engine,Unsafe deserialization of untrusted data,Avoid native deserialization; use safe formats (JSON) or a validation whitelist.,Logging
POL-10020,Polaris SAST,SampleApp,2026.03,main,JAVA_INSECURE_COOKIE,614,Medium,Low,High,Low,Common,src/main/java/com/sampleapp/payments/Controller6.java,execute,234,69,Fix Submitted,unassigned,2026-01-20,2026-02-28,81e10465,dependabot/bump-spring,Cookie without Secure/HttpOnly flags,Set Secure and HttpOnly (and SameSite) flags on session cookies.,Reliability
POL-10021,Polaris SAST,SampleApp,2026.03,main,JAVA_INSECURE_RANDOM,330,Medium,Low,High,High,Common,src/main/java/com/sampleapp/db/Manager8.java,processAsync,214,42,New,unassigned,2026-02-03,2026-03-05,f8e90715,feature/rewards-engine,Use of predictable random (java.util.Random),Use java.security.SecureRandom for security-sensitive values.,"Auth,OWASP-A3-DataExposure"
POL-10022,Polaris SAST,SampleApp,2026.03,main,JAVA_INSECURE_COOKIE,614,Critical,High,High,High,Core,src/main/java/com/sampleapp/security/Service8.java,register,131,60,Fix Submitted,anil.k,2026-01-31,2026-03-03,3956ce38,feature/payments-v2,Cookie without Secure/HttpOnly flags,Set Secure and HttpOnly (and SameSite) flags on session cookies.,"Logging,Reliability,GDPR"
POL-10023,Polaris SAST,SampleApp,2026.03,main,JAVA_COMMAND_INJECTION,78,Medium,Low,High,High,Orders,src/main/java/com/sampleapp/api/Manager10.java,login,239,85,Triaged,qa1,2026-01-22,2026-03-05,4a010f81,hotfix/auth-null,Command injection through Runtime.exec,Use ProcessBuilder with argument arrays; validate and escape input.,"OWASP-A5-Misconfig,PCI"
POL-10024,Polaris SAST,SampleApp,2026.03,main,JAVA_INSECURE_COOKIE,614,Low,Medium,Medium,Medium,Orders,src/main/java/com/sampleapp/util/Manager4.java,register,250,32,Fix Submitted,anil.k,2026-01-30,2026-03-02,a7cd6f85,refactor/core-cleanup,Cookie without Secure/HttpOnly flags,Set Secure and HttpOnly (and SameSite) flags on session cookies.,"OWASP-A1-Injection,Auth,Reliability"
POL-10025,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_SHA1,327,High,Low,High,Low,Config,src/main/java/com/sampleapp/payments/Client1.java,register,227,89,New,qa1,2026-01-31,2026-03-05,1205f5ee,feature/rewards-engine,Use of weak hash SHA-1,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,"Auth,GDPR,OWASP-A1-Injection"
POL-10026,Polaris SAST,SampleApp,2026.03,main,JAVA_INSECURE_COOKIE,614,Medium,High,High,Low,Config,src/main/java/com/sampleapp/service/Handler10.java,delete,71,107,New,qa1,2026-02-09,2026-03-05,fe5caae9,dependabot/bump-spring,Cookie without Secure/HttpOnly flags,Set Secure and HttpOnly (and SameSite) flags on session cookies.,OWASP-A1-Injection
POL-10027,Polaris SAST,SampleApp,2026.03,main,JAVA_DESERIALIZATION_RCE,502,Medium,Medium,Medium,High,AuthService,src/main/java/com/sampleapp/service/Manager8.java,register,225,63,New,dev2,2026-02-20,2026-03-05,c69bd203,feature/payments-v2,Unsafe deserialization of untrusted data,Avoid native deserialization; use safe formats (JSON) or a validation whitelist.,Reliability
POL-10028,Polaris SAST,SampleApp,2026.03,main,JAVA_NULL_POINTER_DEREFERENCE,476,Low,Medium,Low,Medium,Orders,src/main/java/com/sampleapp/auth/Util12.java,register,126,81,New,anil.k,2026-02-18,2026-03-05,ccba13ed,refactor/core-cleanup,Possible null dereference,Add null checks; consider Optional and @NonNull annotations.,"Performance,OWASP-A3-DataExposure,GDPR"
POL-10029,Polaris SAST,SampleApp,2026.03,main,JAVA_DESERIALIZATION_RCE,502,Low,Low,Low,Low,Security,src/main/java/com/sampleapp/orders/Controller9.java,handle,156,106,New,unassigned,2026-02-20,2026-03-05,ce53eb55,refactor/core-cleanup,Unsafe deserialization of untrusted data,Avoid native deserialization; use safe formats (JSON) or a validation whitelist.,"Reliability,Performance,Auth"
POL-10030,Polaris SAST,SampleApp,2026.03,main,JAVA_INFORMATION_EXPOSURE_STACKTRACE,209,Critical,Medium,Low,Medium,Orders,src/main/java/com/sampleapp/auth/Controller4.java,list,30,98,Confirmed,dev1,2026-02-06,2026-03-05,36c21e90,dependabot/bump-spring,Stack trace exposed to client,Return generic errors to clients; log detailed stack traces server-side.,Performance
POL-10031,Polaris SAST,SampleApp,2026.03,main,JAVA_INSECURE_RANDOM,330,High,Low,High,High,Payments,src/main/java/com/sampleapp/orders/Handler8.java,execute,225,105,Fix Submitted,qa1,2026-02-21,2026-03-01,beb677a7,dependabot/bump-spring,Use of predictable random (java.util.Random),Use java.security.SecureRandom for security-sensitive values.,"OWASP-A1-Injection,Auth"
POL-10032,Polaris SAST,SampleApp,2026.03,main,JAVA_HARDCODED_CREDENTIALS,798,Medium,Medium,Low,Medium,AuthService,src/main/java/com/sampleapp/security/Repository9.java,process,244,113,Fix Submitted,dev2,2026-02-16,2026-03-04,93dc22b9,feature/rewards-engine,Hardcoded credential in source,Remove secrets from code; use a secrets manager and rotate keys.,"OWASP-A3-DataExposure,OWASP-A5-Misconfig"
POL-10033,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_SHA1,327,High,Low,Medium,Medium,Config,src/main/java/com/sampleapp/payments/Service8.java,deleteAsync,117,118,Confirmed,qa1,2026-02-15,2026-03-05,7e60827e,refactor/core-cleanup,Use of weak hash SHA-1,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,"Performance,OWASP-A5-Misconfig,Auth"
POL-10034,Polaris SAST,SampleApp,2026.03,main,JAVA_NULL_POINTER_DEREFERENCE,476,High,Low,Low,Medium,Config,src/main/java/com/sampleapp/util/Manager4.java,handle,139,110,Fix Submitted,qa1,2026-02-21,2026-03-02,55604791,feature/rewards-engine,Possible null dereference,Add null checks; consider Optional and @NonNull annotations.,Reliability
POL-10035,Polaris SAST,SampleApp,2026.03,main,JAVA_HARDCODED_CREDENTIALS,798,Low,Medium,High,Low,Config,src/main/java/com/sampleapp/auth/Handler3.java,save,99,10,Triaged,dev1,2026-02-07,2026-03-05,f547770f,dependabot/bump-spring,Hardcoded credential in source,Remove secrets from code; use a secrets manager and rotate keys.,"OWASP-A1-Injection,OWASP-A3-DataExposure,Performance"
POL-10036,Polaris SAST,SampleApp,2026.03,main,JAVA_PATH_TRAVERSAL,22,Medium,Medium,High,Low,API,src/main/java/com/sampleapp/payments/Service12.java,execute,43,42,Fixed,anil.k,2026-02-05,2026-03-02,fc236cb7,feature/payments-v2,Path traversal using user-controlled path,Normalize and validate paths; restrict to allowed directories.,"Auth,Performance,PCI"
POL-10037,Polaris SAST,SampleApp,2026.03,main,JAVA_PATH_TRAVERSAL,22,Medium,Medium,Medium,Medium,AuthService,src/main/java/com/sampleapp/payments/Repository11.java,deleteAsync,246,45,Ignored,dev2,2026-02-04,2026-03-01,51e97b0f,refactor/core-cleanup,Path traversal using user-controlled path,Normalize and validate paths; restrict to allowed directories.,"PCI,OWASP-A1-Injection,Logging"
POL-10038,Polaris SAST,SampleApp,2026.03,main,JAVA_DESERIALIZATION_RCE,502,Critical,Low,Low,High,Config,src/main/java/com/sampleapp/service/Manager4.java,list,132,82,New,anil.k,2026-02-07,2026-03-05,4547484e,dependabot/bump-spring,Unsafe deserialization of untrusted data,Avoid native deserialization; use safe formats (JSON) or a validation whitelist.,GDPR
POL-10039,Polaris SAST,SampleApp,2026.03,main,JAVA_COMMAND_INJECTION,78,Low,Medium,Low,Medium,Core,src/main/java/com/sampleapp/security/Service9.java,query,159,107,New,dev2,2026-01-24,2026-03-05,9e761b6d,dependabot/bump-spring,Command injection through Runtime.exec,Use ProcessBuilder with argument arrays; validate and escape input.,"GDPR,OWASP-A3-DataExposure,Logging"
POL-10040,Polaris SAST,SampleApp,2026.03,main,JAVA_SQL_INJECTION,89,High,High,Medium,Medium,Orders,src/main/java/com/sampleapp/orders/Manager11.java,queryAsync,139,61,New,dev2,2026-01-19,2026-03-05,f344154b,feature/rewards-engine,SQL Injection via concatenated query,Use PreparedStatement with bind variables; avoid string concatenation.,PCI
POL-10041,Polaris SAST,SampleApp,2026.03,main,JAVA_COMMAND_INJECTION,78,Critical,Low,High,Medium,Config,src/main/java/com/sampleapp/util/Handler12.java,delete,400,94,New,qa1,2026-01-28,2026-03-05,4739e5d1,hotfix/auth-null,Command injection through Runtime.exec,Use ProcessBuilder with argument arrays; validate and escape input.,"OWASP-A3-DataExposure,GDPR"
POL-10042,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_MD5,327,High,Medium,Medium,High,API,src/main/java/com/sampleapp/payments/Controller11.java,handle,325,3,New,dev1,2026-02-02,2026-03-05,dc3b6dd7,refactor/core-cleanup,Use of weak hash MD5,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,OWASP-A1-Injection
POL-10043,Polaris SAST,SampleApp,2026.03,main,JAVA_XSS_REFLECTED,79,Low,Low,Medium,High,API,src/main/java/com/sampleapp/auth/Service1.java,query,141,76,Triaged,qa1,2026-02-12,2026-03-05,ec0bb1f3,dependabot/bump-spring,Reflected XSS via unsanitized output,HTML-encode outputs; validate and sanitize user input.,"Auth,OWASP-A1-Injection,GDPR"
